indice_tiempo,medio_de_transporte,pais,balanza
2017-05-01,Fluvial/Marítima,Uruguay,-9544
2017-05-01,Fluvial/Marítima,EE.UU. y Canadá,1723
2017-05-01,Fluvial/Marítima,Resto de América,3336
2017-05-01,Fluvial/Marítima,Europa,3484
2017-05-01,Fluvial/Marítima,Resto del mundo,1072
2017-05-01,Terrestre,Bolivia,-1722
2017-05-01,Terrestre,Brasil,-23873
2017-05-01,Terrestre,Chile,-71664
2017-05-01,Terrestre,Paraguay,-54119
2017-05-01,Terrestre,Uruguay,-25731
2017-05-01,Terrestre,EE.UU. y Canadá,1878
2017-05-01,Terrestre,Resto de América,7522
2017-05-01,Terrestre,Europa,10513
2017-05-01,Terrestre,Resto del mundo,3975
2017-06-01,Aérea,Bolivia,1199
2017-06-01,Aérea,Brasil,9587
2017-06-01,Aérea,Chile,-17057
2017-06-01,Aérea,Paraguay,1663
2017-06-01,Aérea,Uruguay,900
2017-06-01,Aérea,EE.UU. y Canadá,-52265
2017-06-01,Aérea,Resto de América,-52591
2017-06-01,Aérea,Europa,-52911
2017-06-01,Aérea,Resto del mundo,-6694
2017-06-01,Fluvial/Marítima,Bolivia,246
2017-06-01,Fluvial/Marítima,Brasil,5190
2017-06-01,Fluvial/Marítima,Chile,528
2017-06-01,Fluvial/Marítima,Paraguay,-5727
2017-06-01,Fluvial/Marítima,Uruguay,-253
2017-06-01,Fluvial/Marítima,EE.UU. y Canadá,1784
2017-06-01,Fluvial/Marítima,Resto de América,2078
2017-06-01,Fluvial/Marítima,Europa,2305
2017-06-01,Fluvial/Marítima,Resto del mundo,869
2017-06-01,Terrestre,Bolivia,-1176
2017-06-01,Terrestre,Brasil,-17000
2017-06-01,Terrestre,Chile,-34134
2017-06-01,Terrestre,Paraguay,-50303
2017-06-01,Terrestre,Uruguay,-15331
2017-06-01,Terrestre,EE.UU. y Canadá,1206
2017-06-01,Terrestre,Resto de América,5356
2017-06-01,Terrestre,Europa,6181
2017-06-01,Terrestre,Resto del mundo,2297
2017-07-01,Aérea,Bolivia,1368
2017-07-01,Aérea,Brasil,21566
2017-07-01,Aérea,Chile,-35591
2017-07-01,Aérea,Paraguay,1679
2017-07-01,Aérea,Uruguay,2062
2017-07-01,Aérea,EE.UU. y Canadá,-55311
2017-07-01,Aérea,Resto de América,-53548
2017-07-01,Aérea,Europa,-55851
2017-07-01,Aérea,Resto del mundo,-2948
2017-07-01,Fluvial/Marítima,Bolivia,-10070
2017-07-01,Fluvial/Marítima,Brasil,8429
2017-07-01,Fluvial/Marítima,Chile,913
2017-07-01,Fluvial/Marítima,Paraguay,-10232
2017-07-01,Fluvial/Marítima,Uruguay,-9547
2017-07-01,Fluvial/Marítima,EE.UU. y Canadá,1852
2017-07-01,Fluvial/Marítima,Resto de América,1010
2017-07-01,Fluvial/Marítima,Europa,3156
2017-07-01,Fluvial/Marítima,Resto del mundo,841
2017-07-01,Terrestre,Bolivia,-7281
2017-07-01,Terrestre,Brasil,-77540
2017-07-01,Terrestre,Chile,-83266
2017-07-01,Terrestre,Paraguay,-87453
2017-07-01,Terrestre,Uruguay,-32392
2017-07-01,Terrestre,EE.UU. y Canadá,1325
2017-07-01,Terrestre,Resto de América,8262
2017-07-01,Terrestre,Europa,10024
2017-07-01,Terrestre,Resto del mundo,2679
2017-08-01,Aérea,Bolivia,614
2017-08-01,Aérea,Brasil,9363
2017-08-01,Aérea,Chile,-25336
2017-08-01,Aérea,Paraguay,934
2017-08-01,Aérea,Uruguay,1648
2017-08-01,Aérea,EE.UU. y Canadá,-62184
2017-08-01,Aérea,Resto de América,-47301
2017-08-01,Aérea,Europa,-46141
2017-08-01,Aérea,Resto del mundo,-343
2017-08-01,Fluvial/Marítima,Bolivia,-9778
2017-08-01,Fluvial/Marítima,Brasil,3580
2017-08-01,Fluvial/Marítima,Chile,655
2017-08-01,Fluvial/Marítima,Paraguay,-3725
2017-08-01,Fluvial/Marítima,Uruguay,-2204
2017-08-01,Fluvial/Marítima,EE.UU. y Canadá,988
2017-08-01,Fluvial/Marítima,Resto de América,1146
2017-08-01,Fluvial/Marítima,Europa,3174
2017-08-01,Fluvial/Marítima,Resto del mundo,782
2017-08-01,Terrestre,Bolivia,-8462
2017-08-01,Terrestre,Brasil,-33329
2017-08-01,Terrestre,Chile,-66145
2017-08-01,Terrestre,Paraguay,-48831
2017-08-01,Terrestre,Uruguay,-19819
2017-08-01,Terrestre,EE.UU. y Canadá,1217
2017-08-01,Terrestre,Resto de América,8691
2017-08-01,Terrestre,Europa,12201
2017-08-01,Terrestre,Resto del mundo,3070
2017-09-01,Aérea,Bolivia,1326
2017-09-01,Aérea,Brasil,-3329
2017-09-01,Aérea,Chile,-12999
2017-09-01,Aérea,Paraguay,906
2017-09-01,Aérea,Uruguay,-331
2017-09-01,Aérea,EE.UU. y Canadá,-57435
2017-09-01,Aérea,Resto de América,-38740
2017-09-01,Aérea,Europa,-54339
2017-09-01,Aérea,Resto del mundo,-1699
2017-09-01,Fluvial/Marítima,Bolivia,-9713
2017-09-01,Fluvial/Marítima,Brasil,7210
2017-09-01,Fluvial/Marítima,Chile,1173
2017-09-01,Fluvial/Marítima,Paraguay,-3556
2017-09-01,Fluvial/Marítima,Uruguay,-7205
2017-09-01,Fluvial/Marítima,EE.UU. y Canadá,1508
2017-09-01,Fluvial/Marítima,Resto de América,3235
2017-09-01,Fluvial/Marítima,Europa,3480
2017-09-01,Fluvial/Marítima,Resto del mundo,1085
2017-09-01,Terrestre,Bolivia,-6367
2017-09-01,Terrestre,Brasil,-24346
2017-09-01,Terrestre,Chile,-62085
2017-09-01,Terrestre,Paraguay,-33955
2017-09-01,Terrestre,Uruguay,-6943
2017-09-01,Terrestre,EE.UU. y Canadá,1327
2017-09-01,Terrestre,Resto de América,7111
2017-09-01,Terrestre,Europa,9849
2017-09-01,Terrestre,Resto del mundo,3279
2017-10-01,Aérea,Bolivia,1877
2017-10-01,Aérea,Brasil,-13247
2017-10-01,Aérea,Chile,-20782
2017-10-01,Aérea,Paraguay,322
2017-10-01,Aérea,Uruguay,-1473
2017-10-01,Aérea,EE.UU. y Canadá,-64529
2017-10-01,Aérea,Resto de América,-28765
2017-10-01,Aérea,Europa,-48082
2017-10-01,Aérea,Resto del mundo,-4215
2017-10-01,Fluvial/Marítima,Bolivia,-6954
