indice_tiempo,medio_de_transporte,pais_origen,viajes_de_turistas_no_residentes
2011-01-01,Terrestre,Chile,114754
2011-01-01,Terrestre,Paraguay,59184
2011-01-01,Terrestre,Uruguay,24978
2011-01-01,Terrestre,EE.UU. y Canadá,7349
2011-01-01,Terrestre,Resto de América,15273
2011-01-01,Terrestre,Europa,32638
2011-01-01,Terrestre,Resto del mundo,17100
2011-02-01,Aérea,Bolivia,5279
2011-02-01,Aérea,Brasil,48061
2011-02-01,Aérea,Chile,26260
2011-02-01,Aérea,Paraguay,5585
2011-02-01,Aérea,Uruguay,4755
2011-02-01,Aérea,EE.UU. y Canadá,29779
2011-02-01,Aérea,Resto de América,23627
2011-02-01,Aérea,Europa,56799
2011-02-01,Aérea,Resto del mundo,15554
2011-02-01,Fluvial/Marítima,Bolivia,883
2011-02-01,Fluvial/Marítima,Brasil,30520
2011-02-01,Fluvial/Marítima,Chile,4326
2011-02-01,Fluvial/Marítima,Paraguay,6648
2011-02-01,Fluvial/Marítima,Uruguay,27084
2011-02-01,Fluvial/Marítima,EE.UU. y Canadá,13765
2011-02-01,Fluvial/Marítima,Resto de América,3673
2011-02-01,Fluvial/Marítima,Europa,20058
2011-02-01,Fluvial/Marítima,Resto del mundo,4392
2011-02-01,Terrestre,Bolivia,17593
2011-02-01,Terrestre,Brasil,19073
2011-02-01,Terrestre,Chile,167556
2011-02-01,Terrestre,Paraguay,53990
2011-02-01,Terrestre,Uruguay,23924
2011-02-01,Terrestre,EE.UU. y Canadá,7211
2011-02-01,Terrestre,Resto de América,9976
2011-02-01,Terrestre,Europa,31876
2011-02-01,Terrestre,Resto del mundo,14713
2011-03-01,Aérea,Bolivia,4249
2011-03-01,Aérea,Brasil,72774
2011-03-01,Aérea,Chile,21282
2011-03-01,Aérea,Paraguay,4723
2011-03-01,Aérea,Uruguay,6457
2011-03-01,Aérea,EE.UU. y Canadá,33097
2011-03-01,Aérea,Resto de América,27437
2011-03-01,Aérea,Europa,63836
2011-03-01,Aérea,Resto del mundo,16559
2011-03-01,Fluvial/Marítima,Bolivia,2318
2011-03-01,Fluvial/Marítima,Brasil,20178
2011-03-01,Fluvial/Marítima,Chile,1285
2011-03-01,Fluvial/Marítima,Paraguay,4558
2011-03-01,Fluvial/Marítima,Uruguay,31221
2011-03-01,Fluvial/Marítima,EE.UU. y Canadá,8945
2011-03-01,Fluvial/Marítima,Resto de América,4570
2011-03-01,Fluvial/Marítima,Europa,13719
2011-03-01,Fluvial/Marítima,Resto del mundo,2212
2011-03-01,Terrestre,Bolivia,14055
2011-03-01,Terrestre,Brasil,27801
2011-03-01,Terrestre,Chile,72215
2011-03-01,Terrestre,Paraguay,44508
2011-03-01,Terrestre,Uruguay,22686
2011-03-01,Terrestre,EE.UU. y Canadá,7298
2011-03-01,Terrestre,Resto de América,8915
2011-03-01,Terrestre,Europa,28855
2011-03-01,Terrestre,Resto del mundo,13839
2011-04-01,Aérea,Bolivia,4497
2011-04-01,Aérea,Brasil,76963
2011-04-01,Aérea,Chile,21415
2011-04-01,Aérea,Paraguay,7226
2011-04-01,Aérea,Uruguay,7828
2011-04-01,Aérea,EE.UU. y Canadá,27343
2011-04-01,Aérea,Resto de América,35027
2011-04-01,Aérea,Europa,51252
2011-04-01,Aérea,Resto del mundo,14023
2011-04-01,Fluvial/Marítima,Bolivia,2979
2011-04-01,Fluvial/Marítima,Brasil,10429
2011-04-01,Fluvial/Marítima,Chile,834
2011-04-01,Fluvial/Marítima,Paraguay,4500
